Project Name,Directorate,Project Classification,Project Type,Wellbeing Domain/ Government Priority,2021-2022 Budgeted Financing ($'000),2022-2023 Budgeted Financing ($'000),2023-2024 Budgeted Financing ($'000),2024-2025 Budgeted Financing ($'000),2025-2026 Budgeted Financing ($'000),Total Budgeted Financing ($'000)
Fast Track Program - Phase 3,"Chief Minister, Treasury and Economic Development Directorate",Better Infrastructure Fund,Economic growth,Economy,"1,466",0,0,0,0,"1,466"
Fast-Track Phase 3 - Housing ACT,Community Services Directorate,Better Infrastructure Fund,Public housing,Housing and home,876,0,0,0,0,876
Feasibility and design studies for community infrastructure and upgrade,"Chief Minister, Treasury and Economic Development Directorate",New Works,Urban infrastructure,Access and connectivity,350,166,0,0,0,516
Feasibility and design studies for community infrastructure and upgrade,"Environment, Planning and Sustainable Development Directorate",New Works,Urban infrastructure,Access and connectivity,150,150,0,0,0,300
Feasibility and infrastructure planning for future Molonglo land releases,"Environment, Planning and Sustainable Development Directorate",Works-in-progress,Economic growth,Economy,854,0,0,0,0,854
Feasibility studies - duplication of Tharwa Drive and extension of Nudurr Drive,Transport Canberra and City Services Directorate,Works-in-progress,Public transport and active travel,Time,20,0,0,0,0,20
Fishing and Camping Facilities Program,"Environment, Planning and Sustainable Development Directorate",Works-in-progress,Urban infrastructure,Social connection,151,71,0,0,0,222
Food organics and garden organics - waste recovery facility,Transport Canberra and City Services Directorate,New Works,Environment and climate,Environment and climate,200,500,0,0,0,700
Former Transport Depot - Lead Dust Remediation,"Chief Minister, Treasury and Economic Development Directorate",New Works,Urban infrastructure,Safety,"1,100",200,0,0,0,"1,300"
Former West Belconnen ACT Fire & Rescue Station (Charnwood site) offsite requirements - Phase 2,Justice and Community Safety Directorate,New Works,Community services,Environment and climate,-92,"1,008",0,0,0,916
Future Bus Network,Transport Canberra and City Services Directorate,Works-in-progress,Public transport and active travel,Access and connectivity,"3,206",0,0,0,0,"3,206"
Galambany Circle Sentencing Court upgrades,Justice and Community Safety Directorate,New Works,Community services,Identity and belonging,714,0,0,0,0,714
Goliath Court Flood Mitigation (Cth contribution),Transport Canberra and City Services Directorate,New Works,Environment and climate,Safety,500,720,0,0,0,"1,220"
Government Budget Management System,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Governance and institution,650,"1,715",0,0,0,"2,365"
Government Office Projects: Workplace Transition,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Economy,"2,753",0,0,0,0,"2,753"
Green Waste Rollout,Transport Canberra and City Services Directorate,Works-in-progress,Environment and climate,Environment and climate,308,0,0,0,0,308
Growing and renewing public housing - Securing high quality public housing,Housing ACT,New Works,Public housing,Housing and home,"40,000","20,000","20,000",0,0,"80,000"
Growing and Renewing Public Housing program - Year 3,Housing ACT,New Works,Public housing,Housing and home,"21,760",0,0,0,0,"21,760"
Growing investment in services for our suburbs,Transport Canberra and City Services Directorate,Works-in-progress,Urban infrastructure,Access and connectivity,791,648,0,0,0,"1,439"
Growing the public transport network,Transport Canberra and City Services Directorate,New Works,Public transport and active travel,Access and connectivity,0,"1,800",0,0,0,"1,800"
Gungahlin Common Ground Build to Rent - Design,"Environment, Planning and Sustainable Development Directorate",New Works,Public housing,Housing and home,30,410,0,0,0,440
Gungahlin Common Ground Build to Rent - Early Planning,"Environment, Planning and Sustainable Development Directorate",New Works,Public housing,Housing and home,200,0,0,0,0,200
Gungahlin District Tennis Centre - Design,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Urban infrastructure,Social connection,10,478,0,0,0,488
Health Innovation Fund (Cth contribution),Canberra Health Services,Works-in-progress,Health services,Health,"5,922",0,0,0,0,"5,922"
Heavy Vehicle Safety and Productivity (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,"1,805",0,0,0,0,"1,805"
Household Organics Waste Collections,Transport Canberra and City Services Directorate,New Works,Environment and climate,Environment and climate,159,3,3,0,0,165
ICT Equipment Purchase Funding,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Governance and institution,0,0,0,0,"1,000","1,000"
Imaging services at the Weston Creek Walk-in Centre,Canberra Health Services,Works-in-progress,Health services,Health,863,"4,807",0,0,0,"5,670"
Implementing real time prescription monitoring,ACT Health Directorate,Works-in-progress,Health services,Health,615,947,0,0,0,"1,562"
Improved Infrastructure for Acute Aged Care and Cancer Inpatients,Canberra Health Services,Works-in-progress,Health services,Health,"1,023",0,0,0,0,"1,023"
Improvements to the Canberra Museum and Gallery and the North Building,"Chief Minister, Treasury and Economic Development Directorate",New Works,Urban infrastructure,Environment and climate,120,623,624,0,0,"1,367"
Improving and upgrading government accommodation,"Chief Minister, Treasury and Economic Development Directorate",New Works,Urban infrastructure,Access and connectivity,"1,128","3,384",0,0,0,"4,512"
Improving Canberra's health infrastructure - A new carpark at Canberra Hospital,ACT Health Directorate,New Works,Health services,Health,300,"2,700",0,0,0,"3,000"
Improving Canberra's health infrastructure - Calvary critical infrastructure,ACT Health Directorate,New Works,Health services,Health,"8,323","10,493","1,000",0,0,"19,816"
Improving Canberra's health infrastructure - Calvary critical infrastructure,Canberra Health Services,New Works,Health services,Health,100,"5,690","4,700",0,0,"10,490"
Improving Canberra's health infrastructure - Cancer Research Centre,Canberra Health Services,New Works,Health services,Health,169,"6,876",0,0,0,"7,045"
Improving Canberra's health infrastructure - Northside hospital development,ACT Health Directorate,New Works,Health services,Health,"2,676","7,870",0,0,0,"10,546"
Improving Canberra's health infrastructure - Northside hospital development,Major Projects Canberra,New Works,Health services,Health,"1,334","1,641",0,0,0,"2,975"
Improving infrastructure and wellbeing at the Alexander Maconochie Centre,Justice and Community Safety Directorate,New Works,Community services,Safety,450,0,0,0,0,450
Improving online lodgement for development applications,"Environment, Planning and Sustainable Development Directorate",Works-in-progress,Economic growth,Governance and institution,600,0,0,0,0,600
Improving Our Suburbs - New Molonglo Valley Infrastructure,Transport Canberra and City Services Directorate,Works-in-progress,Urban infrastructure,Access and connectivity,146,0,0,0,0,146
Improving Road Safety - Traffic camera adjudication system upgrades,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Urban roads,Governance and institution,31,0,0,0,0,31
Improving safety at Bimberi Youth Justice Centre,Community Services Directorate,New Works,Community services,Safety,315,0,0,0,0,315
Improving stormwater networks,Transport Canberra and City Services Directorate,Works-in-progress,Urban infrastructure,Environment and climate,"9,315","3,045",0,0,0,"12,360"
Improving the probate system in the ACT,Justice and Community Safety Directorate,New Works,Community services,Access and connectivity,72,0,0,0,0,72
Improving water management infrastructure,Transport Canberra and City Services Directorate,Works-in-progress,Environment and climate,Environment and climate,208,50,0,0,0,258
Improving water quality in Lake Tuggeranong,"Environment, Planning and Sustainable Development Directorate",Works-in-progress,Environment and climate,Environment and climate,571,215,0,0,0,786
Independent facilitation of a Restorative Coronial Reform process,Justice and Community Safety Directorate,New Works,Community services,Governance and institution,330,0,0,0,0,330
Infrastructure Investment Program - Black Spot Projects,Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,115,"2,420","2,260","2,260","1,529","8,584"
Infrastructure Investment Program -/ Bridges Renewal Program,Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Access and connectivity,"2,474","1,060","1,100",830,826,"6,290"
Infrastructure Investment Program -/ Heavy Vehicle Safety and Productivity,Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,690,440,"2,140","1,460","1,459","6,189"
Infrastructure Investment Program -/ Road Investment Component – Capital,Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Access and connectivity,"10,727","23,993","26,000",0,"-7,812","52,908"
Infrastructure Investment Program -/ Roads to Recovery,Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Access and connectivity,"10,210","7,970","5,720","7,970","7,969","39,839"
Integrated Service Response Program,Community Services Directorate,New Works,Community services,Housing and home,60,0,0,0,0,60
Intelligent transport systems to better manage traffic congestion,Transport Canberra and City Services Directorate,New Works,Public transport and active travel,Access and connectivity,600,600,0,0,0,"1,200"
Intersection Upgrades -  Belconnen way interestion with Springvale Drive (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,307,443,0,0,0,750
Intersection Upgrades -  Launceston Street interestion with Irving Street (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,227,0,0,0,0,227
Intersection Upgrades -  Launceston Street intersection with Irving Street (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,716,0,0,0,0,716
Intersection Upgrades - Kuringa Drive interestion with Owen Dixon (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,900,"1,871",0,0,0,"2,771"
Intersection Upgrades - Southern Cross Drive intersection with Starke Street (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,129,"1,621",0,0,0,"1,750"
Intersection Upgrades - Southern Cross Drive intersection with Starke Street (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,790,0,0,0,0,790
Investing in public education - Digital access and equity,Education Directorate,New Works,Education,Education and life-long learning,"4,131","4,413","4,713","5,033","5,033","23,323"
Investing in public education - Essential ICT systems upgrades and modifications,Education Directorate,New Works,Education,Education and life-long learning,400,0,0,0,0,400
Investing in public health care - Expanding endoscopy services,Canberra Health Services,New Works,Health services,Health,175,650,0,0,0,825
Investment in Maintenance of School Infrastructure,Education Directorate,Better Infrastructure Fund,Education,Education and life-long learning,"16,486","16,898","17,320","17,753","17,753","86,210"
John Gorton Drive and Molonglo River Bridge Crossing (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Urban infrastructure,Time,300,"13,313","20,000","54,700",0,"88,313"
John Gorton Drive and Molonglo River Bridge Crossing (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Urban infrastructure,Time,300,"13,473","20,000","53,500",0,"87,273"
Keeping our growing city moving - Better infrastructure for active travel,Transport Canberra and City Services Directorate,Works-in-progress,Public transport and active travel,Access and connectivity,"3,359",800,0,0,0,"4,159"
Keeping our growing city moving - Canberra Brickworks Precinct - environmental offsets,Transport Canberra and City Services Directorate,Works-in-progress,Urban roads,Environment and climate,295,9,0,0,0,304
Keeping our growing city moving - John Gorton Drive and Molonglo River Bridge Crossing - Early design,Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Time,155,305,0,0,0,460
Keeping our growing city moving - Monaro Highway upgrade,Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Time,171,0,0,0,0,171
Keeping our growing city moving - Safer intersections,Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,187,0,0,0,0,187
Learning Management System,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Governance and institution,313,0,0,0,0,313
Light Rail Stage 2 and associated enabling works (including raising London Circuit),Major Projects Canberra,Works-in-progress,Public transport and active travel,Access and connectivity,"51,712","2,000",0,0,0,"53,712"
Light Rail Stage 2 and raising London Circuit,Major Projects Canberra,Works-in-progress,Public transport and active travel,Access and connectivity,"20,000",0,0,0,0,"20,000"
Local Roads and Community Infrastructure Program,City Renewal Authority,Works-in-progress,Major roads,Access and connectivity,709,0,0,0,0,709
Local Roads and Community Infrastructure Program (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Urban roads,Access and connectivity,"5,386",0,0,0,0,"5,386"
Look and Feel of City,Transport Canberra and City Services Directorate,Works-in-progress,Urban infrastructure,Economy,"1,908",0,0,0,0,"1,908"
Maintaining accountability and transparency of government,ACT Integrity Commission,New Works,Community services,Governance and institution,390,731,0,0,0,"1,121"
Maintaining Systems Supporting Practice (CYRIS),Community Services Directorate,Works-in-progress,Community services,Governance and institution,797,0,0,0,0,797
Maintenance and Upgrade Program for Social Housing,Housing ACT,Works-in-progress,Public housing,Housing and home,"7,600",0,0,0,0,"7,600"
Making our roads safer while keeping Canberra moving,Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,"1,583","5,442","6,689","2,500",0,"16,214"
Management and remediation of firefighting substances at the stations,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,"1,292",797,0,0,0,"2,089"
Materials Recovery Facility Expansion,Transport Canberra and City Services Directorate,Works-in-progress,Environment and climate,Environment and climate,23,"2,721","3,000",0,0,"5,744"
Mawson Stormwater and Place Making Improvements (ACT contribution),Transport Canberra and City Services Directorate,New Works,Urban infrastructure,Safety,0,"1,010",0,0,0,"1,010"
Mawson Stormwater and Place Making Improvements (Cth contribution),Transport Canberra and City Services Directorate,New Works,Urban infrastructure,Safety,"1,110","1,010",0,0,0,"2,120"
Medical Warehouse Relocation,Canberra Health Services,New Works,Health services,Health,767,500,0,0,0,"1,267"
Meeting future ACT Government accommodation needs,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Economy,"14,933","7,421",0,0,0,"22,354"
Modernisation of Woden Primary Schools - Modernising Garran Primary School,Education Directorate,New Works,Education,Education and life-long learning,0,"5,200","10,400","26,000","20,800","62,400"
Modular Learning Centres,Education Directorate,Works-in-progress,Education,Education and life-long learning,"4,204",0,0,0,0,"4,204"
Monaro Highway Upgrade (Cth contribution),Transport Canberra and City Services Directorate,New Works,Major roads,Access and connectivity,0,"5,000","22,500","27,500","25,050","80,050"
More ACT Fire and Rescue Staff and Construction of Acton Station,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,"1,312","15,641","23,444",0,0,"40,397"
More active travel infrastructure for our schools and suburbs,Transport Canberra and City Services Directorate,Works-in-progress,Public transport and active travel,Access and connectivity,248,0,0,0,0,248
More alcohol and other drug services - Watson Health Precinct redevelopment,ACT Health Directorate,New Works,Health services,Health,550,0,0,0,0,550
More and better jobs - Data analytics for smarter policy,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Governance and institution,347,0,0,0,0,347
More and better jobs - Expanding Belconnen Arts Centre,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Social connection,624,0,0,0,0,624
More and better jobs - Improving arts facilities,"Chief Minister, Treasury and Economic Development Directorate",Better Infrastructure Fund,Community services,Social connection,564,0,0,0,0,564
More and better jobs - Modernising government ICT infrastructure,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Governance and institution,"2,698",0,0,0,0,"2,698"
More carparks for Palmerston Shops and Cooleman Court,Transport Canberra and City Services Directorate,Works-in-progress,Urban infrastructure,Access and connectivity,394,0,0,0,0,394
More energy efficient Government accommodation,"Chief Minister, Treasury and Economic Development Directorate",New Works,Environment and climate,Environment and climate,"1,861","3,768","4,722","4,901",0,"15,252"
More facilities for Stromlo Forest Park,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Urban infrastructure,Social connection,30,84,0,0,0,114
More jobs for our growing city - Better arts facilities,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Social connection,68,0,0,0,0,68
More jobs for our growing city - Better facilities for Manuka Oval,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Social connection,320,27,55,0,0,402
More jobs for our growing city - Better town centres,Transport Canberra and City Services Directorate,Works-in-progress,Urban infrastructure,Economy,207,0,0,0,0,207
More jobs for our growing city - City Renewal Precinct activation projects,City Renewal Authority,Works-in-progress,Economic growth,Identity and belonging,"1,780",0,0,0,0,"1,780"
More jobs for our growing city - Delivering a new nature reserve in the Molonglo Valley - NES Plan Implementation Stage 3,"Environment, Planning and Sustainable Development Directorate",Works-in-progress,Environment and climate,Environment and climate,523,0,0,0,0,523
More jobs for our growing city - Government facilities upgrade,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Environment and climate,Economy,245,0,0,0,0,245
More jobs for our growing city - New Canberra Theatre Complex - Early planning,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Social connection,70,0,0,0,0,70
More jobs for our growing city - Upgrading the Canberra Theatre Centre,Cultural Facilities Corporation,Works-in-progress,Economic growth,Social connection,110,0,0,0,0,110
More mental health services at The Canberra Hospital,Canberra Health Services,Works-in-progress,Health services,Health,"2,015",0,0,0,0,"2,015"
More places for students at Gold Creek School’s senior campus,Education Directorate,Works-in-progress,Education,Education and life-long learning,"3,678","1,898",0,0,0,"5,576"
More places for students at northside schools,Education Directorate,Works-in-progress,Education,Education and life-long learning,704,"2,453",0,0,0,"3,157"
More public medical imaging services for Canberra Hospital,Canberra Health Services,Works-in-progress,Health services,Health,"1,614","2,177","1,900",0,0,"5,691"
"More schools, better schools - Campbell Primary School Modernisation",Education Directorate,Works-in-progress,Education,Education and life-long learning,"10,819","3,512",0,0,0,"14,331"
"More schools, better schools - Delivering Molonglo P-10",Education Directorate,Works-in-progress,Education,Education and life-long learning,"14,000",40,0,0,0,"14,040"
"More schools, better schools - More places at Gungahlin schools",Education Directorate,Works-in-progress,Education,Education and life-long learning,"1,967",0,0,0,0,"1,967"
"More schools, better schools - Narrabundah College redevelopment - early planning and design",Education Directorate,Works-in-progress,Education,Education and life-long learning,430,0,0,0,0,430
"More schools, better schools - Roof Replacement Program",Education Directorate,Works-in-progress,Education,Education and life-long learning,"2,708",500,0,0,0,"3,208"
More services for our suburbs - Better waste management,Transport Canberra and City Services Directorate,Works-in-progress,Environment and climate,Environment and climate,"1,150",0,0,0,0,"1,150"
More services for our suburbs - Bringing Woden Town Square to life,Transport Canberra and City Services Directorate,Works-in-progress,Urban infrastructure,Economy,464,0,0,0,0,464
More services for our suburbs - Enhancing our bushfire preparedness,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,126,15,0,0,0,141
More services for our suburbs - Improved energy efficiency for public housing,Housing ACT,Works-in-progress,Public housing,Housing and home,70,0,0,0,0,70
More services for our suburbs - More paramedics and ambulances,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,32,0,0,0,0,32
More services for our suburbs - More trees,Transport Canberra and City Services Directorate,Works-in-progress,Environment and climate,Environment and climate,26,0,0,0,0,26
More services for our suburbs - Parkwood estate rehabilitation,Transport Canberra and City Services Directorate,Works-in-progress,Environment and climate,Environment and climate,788,"3,550",0,0,0,"4,338"
More services for our suburbs - Southern Memorial Park Detailed Design,Transport Canberra and City Services Directorate,Works-in-progress,Community services,Access and connectivity,384,700,800,0,0,"1,884"
More services for our suburbs - Upgrading the Old Kingston Bus Depot,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Urban infrastructure,Access and connectivity,755,0,0,0,0,755
More support for families and inclusion - Better housing for Aboriginal and Torres Strait Islander older people,Housing ACT,Works-in-progress,Public housing,Housing and home,"1,665",0,0,0,0,"1,665"
More support for families and inclusion - Commencing operations of the Drug and Alcohol Court,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,591,0,0,0,0,591
More support for families and inclusion - Design and planning for the Alexander Maconochie Transitional Release Centre expansion,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,5,0,0,0,0,5
More support for families and inclusion - Keeping Canberrans safe in public places,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,187,0,0,0,0,187
More support for families and inclusion - Keeping Canberrans safe in public places,Transport Canberra and City Services Directorate,Works-in-progress,Community services,Safety,17,0,0,0,0,17
More support for families and inclusion - More resources for the Director of Public Prosecutions,Justice and Community Safety Directorate,Works-in-progress,Community services,Governance and institution,35,0,0,0,0,35
More support for families and inclusion - New aerial pumper for ACT Fire and Rescue,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,187,0,0,0,0,187
More support for families and inclusion - Providing safe alternatives to remand,Justice and Community Safety Directorate,Better Infrastructure Fund,Community services,Safety,"2,476","2,052","2,052","2,052","2,052","10,684"
More support for families and inclusion - Providing safe alternatives to remand,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,187,0,0,0,0,187
More support for the Gungahlin Leisure Centre,"Chief Minister, Treasury and Economic Development Directorate",New Works,Urban infrastructure,Health,360,0,0,0,0,360
More teaching and learning spaces for CIT Fyshwick,Canberra Institute of Technology,Works-in-progress,Education,Education and life-long learning,659,0,0,0,0,659
Moving delivery of more community services online,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Access and connectivity,"4,968",0,0,0,0,"4,968"
Moving delivery of more community services online,Community Services Directorate,Works-in-progress,Community services,Governance and institution,"1,185",0,0,0,0,"1,185"
Nara Centre Levels 1 & 2,"Chief Minister, Treasury and Economic Development Directorate",New Works,Urban infrastructure,Governance and institution,"5,200",0,0,0,0,"5,200"
National Arboretum Canberra - Second Access Road,"Chief Minister, Treasury and Economic Development Directorate",New Works,Urban roads,Access and connectivity,110,0,0,0,0,110
Network Modernisation Program,"Chief Minister, Treasury and Economic Development Directorate",New Works,Economic growth,Governance and institution,"4,810","5,620","7,030","5,340",0,"22,800"
New and Expanded schools - Strathnairn Primary School,Education Directorate,New Works,Education,Education and life-long learning,"1,000","5,200","15,600","26,000","15,600","63,400"
New and expanded schools - Future planning,Education Directorate,New Works,Education,Education and life-long learning,"4,285","4,715",0,0,0,"9,000"
New and expanded schools - Garran Primary School,Education Directorate,New Works,Education,Education and life-long learning,970,0,0,0,0,970
New and expanded schools - Increasing school capacity,Education Directorate,New Works,Education,Education and life-long learning,"19,800",0,0,0,0,"19,800"
New and expanded schools - Narrabundah College modernisation,Education Directorate,New Works,Education,Education and life-long learning,600,0,0,0,0,600
New and expanded schools - School maintenance and infrastructure upgrades,Education Directorate,Better Infrastructure Fund,Education,Education and life-long learning,"8,969","9,049","4,861","8,097","8,097","39,073"
New and expanded Schools - Narrabundah College,Education Directorate,New Works,Education,Education and life-long learning,0,"3,000","17,430","11,480",0,"31,910"
New COVID-19 and Disease Response Management System,ACT Health Directorate,Works-in-progress,Health services,Health,"3,588","3,675",0,0,0,"7,263"
New stations for ACT Ambulance Service and ACT Fire & Rescue,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,281,150,0,0,0,431
Ngunnawal Bush Healing Farm,ACT Health Directorate,Works-in-progress,Health services,Health,355,578,0,0,0,933
Northbourne Avenue Pavement - Part 1 (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,"3,000",0,0,0,0,"3,000"
Northbourne Avenue Pavement - Part 1 (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,"1,252",0,0,0,0,"1,252"
Northbourne Avenue Pavement - Part 2 (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Access and connectivity,837,0,0,0,0,837
Northbourne Avenue Pavement - Part 2 (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Access and connectivity,837,0,0,0,0,837
Northbourne Avenue Pavement - Part 3 (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Access and connectivity,750,0,0,0,0,750
Northbourne Avenue Pavement - Part 3 (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Access and connectivity,683,0,0,0,0,683
Office Accommodation,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Economy,0,500,500,500,500,"2,000"
Opioid treatment services on Canberra’s northside,Canberra Health Services,Works-in-progress,Health services,Health,-2,36,0,0,0,34
Parkes Way early works (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Access and connectivity,"1,826",655,0,0,0,"2,481"
Parkes Way early works (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Access and connectivity,"1,819",650,0,0,0,"2,469"
Permanent Home for Dragon Boating in the ACT,"Chief Minister, Treasury and Economic Development Directorate",New Works,Community services,Health,50,"1,250",0,0,0,"1,300"
Connected and sustainable Canberra - Upgrades for Pialligo (Cth contribution),Transport Canberra and City Services Directorate,New Works,Urban roads,Safety,0,"1,130","1,130",240,0,"2,500"
Planning and design for a zero emissions bus network,Transport Canberra and City Services Directorate,Works-in-progress,Public transport and active travel,Environment and climate,280,500,0,0,0,780
Planning better roads for our growing city,Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Access and connectivity,300,284,0,0,0,584
Planning better roads for our growing city,Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Access and connectivity,559,50,0,0,0,609
Planning for a permanent home for Dragon Boating,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Urban infrastructure,Social connection,390,0,0,0,0,390
"Planting 54,000 trees across Canberra",Transport Canberra and City Services Directorate,New Works,Environment and climate,Environment and climate,150,554,0,0,0,704
Protecting Canberra’s unique environment – Further Expanding Healthy Waterways,"Environment, Planning and Sustainable Development Directorate",New Works,Environment and climate,Environment and climate,267,"11,406",0,0,0,"11,673"
Protecting Canberra's unique environment - Upgrading the stormwater network,Transport Canberra and City Services Directorate,New Works,Urban infrastructure,Environment and climate,800,"3,780","2,000",0,0,"6,580"
Protecting Endangered Species,"Environment, Planning and Sustainable Development Directorate",Works-in-progress,Environment and climate,Environment and climate,255,0,0,0,0,255
Protecting grasslands and conservation areas,"Environment, Planning and Sustainable Development Directorate",Works-in-progress,Environment and climate,Environment and climate,270,0,0,0,0,270
Public Trading Enterprise Infrastructure Program,Cemeteries and Crematoria Authority - PTE,PTE Program,Community services,Access and connectivity,331,242,362,367,380,"1,682"
Public Trading Enterprise Infrastructure Program,City Renewal Authority - PTE,PTE Program,Economic growth,Economy,"1,360","2,438",708,0,0,"4,506"
Public Trading Enterprise Infrastructure Program,Housing ACT - PTE,PTE Program,Public housing,Housing and home,"134,483","125,556","128,981","38,239",0,"427,259"
Public Trading Enterprise Infrastructure Program,Icon Water - PTE,PTE Program,Urban infrastructure,Access and connectivity,"101,652","69,410","112,123","117,100","83,700","483,985"
Public Trading Enterprise Infrastructure Program,Suburban Land Agency - PTE,PTE Program,Economic growth,Economy,"115,922","152,123","147,103","115,459",0,"530,607"
Reducing homelessness by delivering another Common Ground,Housing ACT,Works-in-progress,Public housing,Housing and home,"19,055",0,0,0,0,"19,055"
Reducing reliance on potable water to irrigate grass,Transport Canberra and City Services Directorate,Better Infrastructure Fund,Environment and climate,Environment and climate,171,"1,661",0,0,0,"1,832"
Remediating the former Molonglo sewerage treatment facility,"Environment, Planning and Sustainable Development Directorate",Works-in-progress,Environment and climate,Environment and climate,"1,413",200,0,0,0,"1,613"
Removing hazardous materials from schools,Education Directorate,New Works,Education,Education and life-long learning,"3,750","3,750","3,750","3,750",0,"15,000"
Renewing Canberra's city heart,City Renewal Authority,Works-in-progress,Economic growth,Identity and belonging,"2,743","11,742","3,751",0,0,"18,236"
Replacing ACT Parks and Conservation Services radios,"Environment, Planning and Sustainable Development Directorate",Works-in-progress,Environment and climate,Safety,40,0,0,0,0,40
Replacing the Human Resources Information Management System,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Governance and institution,"12,928",0,0,0,0,"12,928"
Replanting the Ingledene Forest,"Environment, Planning and Sustainable Development Directorate",Works-in-progress,Environment and climate,Environment and climate,794,414,0,0,0,"1,208"
Road Median Improvement,Transport Canberra and City Services Directorate,Better Infrastructure Fund,Urban roads,Safety,465,573,675,0,0,"1,713"
Road safety improvements (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,"3,580","1,350",0,0,0,"4,930"
Road safety improvements (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,"3,572",350,0,0,0,"3,922"
Road Safety Works - Road Safety Barriers (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,109,0,0,0,0,109
Road Safety Works - Road Safety Barriers (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,109,0,0,0,0,109
Road Safety Works - Traffic Signal Uninterrupted Power Supply (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,106,0,0,0,0,106
Road Safety Works - Traffic Signal Uninterrupted Power Supply (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,106,0,0,0,0,106
